Year,Category,Predicted,Actual,Correct,Confidence,Model
2015,Best Supporting Actor,J.K. Simmons,J. K. Simmons,False,0.7137096774193548,Weighted
2015,Best Supporting Actress,Patricia Arquette,Patricia Arquette,True,0.9625,Weighted
2016,Best Picture,The Revenant,Spotlight,False,0.30996309963099633,Weighted
2016,Best Director,Alejandro G. Iñárritu (The Revenant),Alejandro G. Iñárritu,True,0.6143790849673204,Weighted
2016,Best Actor,Leonardo DiCaprio; Casey Affleck,Leonardo DiCaprio,True,0.8647392875580795,Weighted
2016,Best Actress,Brie Larson (January); Natalie Portman (December),Brie Larson,True,0.8189386056191467,Weighted
2016,Best Supporting Actor,Sylvester Stallone (January); Mahershala Ali (Dece,Mark Rylance,False,0.4982151963284039,Weighted
2016,Best Supporting Actress,Alicia Vikander,Alicia Vikander,True,0.45238095238095233,Weighted
2017,Best Picture,La La Land,Moonlight,False,0.4870848708487085,Weighted
2017,Best Director,Damien Chazelle (La La Land),Damien Chazelle,True,0.8138528138528139,Weighted
2017,Best Actor,Casey Affleck,Casey Affleck,True,0.6711409395973155,Weighted
2017,Best Actress,Emma Stone,Emma Stone,True,0.5714285714285715,Weighted
2017,Best Supporting Actor,Mahershala Ali,Mahershala Ali,True,0.3968253968253968,Weighted
2017,Best Supporting Actress,Viola Davis,Viola Davis,True,0.8658536585365852,Weighted
2018,Best Picture,The Shape of Water (Guillermo del Toro and J. Mile,The Shape of Water,True,0.5166051660516606,Weighted
2018,Best Director,Guillermo del Toro (The Shape of Water),Guillermo del Toro,True,0.8575372722252901,Weighted
2018,Best Actor,Gary Oldman,Gary Oldman,True,0.8260196179659267,Weighted
2018,Best Actress,Frances McDormand,Frances McDormand,True,0.7471736896197327,Weighted
2018,Best Supporting Actor,Sam Rockwell,Sam Rockwell,True,0.8368200836820082,Weighted
2018,Best Supporting Actress,Allison Janney,Allison Janney,True,0.8658536585365852,Weighted
2019,Best Picture,Roma,Green Book,False,0.4328358208955224,Weighted
2019,Best Director,Alfonso Cuarón,Alfonso Cuarón,True,0.9761769710720364,Weighted
2019,Best Actor,Rami Malek,Rami Malek,True,0.6116207951070336,Weighted
2019,Best Actress,Glenn Close and Lady Gaga (Tie),Olivia Colman,False,0.6529680365296803,Weighted
2019,Best Supporting Actor,Mahershala Ali,Mahershala Ali,True,0.8368200836820082,Weighted
2019,Best Supporting Actress,Regina King,Regina King,True,0.4878048780487805,Weighted
2020,Best Picture,1917,Parasite,False,0.5818181818181819,Weighted
2020,Best Director,Bong Joon-ho (Parasite) and Sam Mendes (1917) (Tie,Bong Joon Ho,True,0.8657432072456047,Weighted
2020,Best Actor,Joaquin Phoenix,Joaquin Phoenix,True,0.8285862247540134,Weighted
2020,Best Actress,Renée Zellweger,Renée Zellweger,True,0.8215031315240083,Weighted
2020,Best Supporting Actor,Brad Pitt,Brad Pitt,True,0.9110169491525423,Weighted
2020,Best Supporting Actress,Laura Dern (Marriage Story and Little Women),Laura Dern,True,0.9259259259259258,Weighted
2021,Best Picture,"Nomadland (Producers: Frances McDormand, Peter Spe",Nomadland,True,0.8212927756653995,Weighted
2021,Best Director,Chloé Zhao,Chloé Zhao,True,0.9227756015668721,Weighted
2021,Best Actor,Chadwick Boseman,Anthony Hopkins,False,0.6336978131212724,Weighted
2021,Best Actress,Frances McDormand,Frances McDormand,True,0.22857142857142854,Weighted
2021,Best Supporting Actor,Daniel Kaluuya,Daniel Kaluuya,True,0.8368200836820082,Weighted
2021,Best Supporting Actress,Youn Yuh-jung,Yuh-Jung Youn,True,0.4404761904761904,Weighted
2022,Best Picture,The Power of the Dog,CODA,False,0.5672727272727275,Weighted
2022,Best Director,Jane Campion (The Power of the Dog),Jane Campion,True,0.9227756015668721,Weighted
2022,Best Actor,"Will Smith (Film), Sean Bean (Television)",Will Smith,True,0.8498953974895399,Weighted
2022,Best Actress,Jessica Chastain,Jessica Chastain,True,0.3681043129388164,Weighted
2022,Best Supporting Actor,Troy Kotsur,Troy Kotsur,True,0.6033057851239669,Weighted
2022,Best Supporting Actress,Ariana DeBose,Ariana DeBose,True,0.8658536585365852,Weighted
2023,Best Picture,Everything Everywhere All at Once,Everything Everywhere All at Once,True,0.5166051660516606,Weighted
2023,Best Director,Daniel Kwan and Daniel Scheinert,Daniel Kwan and Daniel Scheinert,True,0.4997310381925767,Weighted
2023,Best Actor,Austin Butler,Brendan Fraser,False,0.4151987921489683,Weighted
2023,Best Actress,Cate Blanchett,Michelle Yeoh,False,0.6286149162861491,Weighted
2023,Best Supporting Actor,Ke Huy Quan,Ke Huy Quan,True,0.7584745762711864,Weighted
2023,Best Supporting Actress,Angela Bassett,Jamie Lee Curtis,False,0.4235294117647058,Weighted
2024,Best Picture,Oppenheimer,Oppenheimer,True,0.8212927756653995,Weighted
2024,Best Director,Christopher Nolan (Oppenheimer),Christopher Nolan,True,0.8575372722252901,Weighted
2024,Best Actor,Cillian Murphy,Cillian Murphy,True,0.6116207951070336,Weighted
2024,Best Actress,Emma Stone (Poor Things),Emma Stone,True,0.44568527918781725,Weighted
2024,Best Supporting Actor,Robert Downey Jr.,Robert Downey Jr.,True,0.8368200836820082,Weighted
2024,Best Supporting Actress,Da'Vine Joy Randolph (The Holdovers),Da'Vine Joy Randolph,True,1.0,Weighted
2025,Best Picture,"Anora (Producers: Samantha Quan, Alex Coco, Sean B",Anora,True,0.5166051660516606,Weighted
2025,Best Director,Brady Corbet,Sean Baker,False,0.35668789808917206,Weighted
2025,Best Actor,Adrien Brody,Adrien Brody,True,0.6324212700051627,Weighted
2025,Best Actress,Demi Moore,Mikey Madison,False,0.4654919236417033,Weighted
2025,Best Supporting Actor,Kieran Culkin (A Real Pain),Kieran Culkin,True,0.9484978540772532,Weighted
2025,Best Supporting Actress,Zoe Saldaña,Zoe Saldaña,True,0.8658536585365852,Weighted
2000,Best Picture,Bruce Cohen and Dan Jinks (American Beauty),American Beauty,True,0.864300626304802,Momentum
2000,Best Director,Sam Mendes (American Beauty),Sam Mendes,True,0.7131837138104767,Momentum
2000,Best Actor,Kevin Spacey,Kevin Spacey,True,0.4387703994323636,Momentum
2000,Best Actress,Annette Bening,Hilary Swank,False,0.4576770273428372,Momentum
2000,Best Supporting Actor,Tom Cruise,Michael Caine,False,0.24281017929396986,Momentum
2000,Best Supporting Actress,Angelina Jolie,Angelina Jolie,True,0.6903225806451613,Momentum
2001,Best Picture,Gladiator (Producers: Branko Lustig and Douglas Wi,Gladiator,True,0.864300626304802,Momentum
2001,Best Director,Ang Lee,Steven Soderbergh,False,0.6581571032751559,Momentum
2001,Best Actor,Tom Hanks (Cast Away),Russell Crowe,False,0.23226829820983452,Momentum
2001,Best Actress,Julia Roberts,Julia Roberts,True,0.8065622172484403,Momentum
2001,Best Supporting Actor,Benicio del Toro,Benicio Del Toro,True,0.49933843496357183,Momentum
2001,Best Supporting Actress,Judi Dench,Marcia Gay Harden,False,0.2537107352433552,Momentum
2002,Best Picture,A Beautiful Mind,A Beautiful Mind,True,0.3838383838383839,Momentum
2002,Best Director,Ron Howard (A Beautiful Mind) and Baz Luhrmann (Mo,Ron Howard,True,0.5408345433338889,Momentum
2002,Best Actor,Russell Crowe,Denzel Washington,False,0.8812229382229179,Momentum
2002,Best Actress,Sissy Spacek,Halle Berry,False,0.40756156781130765,Momentum
2002,Best Supporting Actor,Jim Broadbent,Jim Broadbent,True,0.43770141525780226,Momentum
2002,Best Supporting Actress,Jennifer Connelly,Jennifer Connelly,True,0.6463633106413472,Momentum
2003,Best Picture,Chicago (Martin Richards),Chicago,True,0.5995893223819303,Momentum
2003,Best Director,Rob Marshall,Roman Polanski,False,0.29957446808510646,Momentum
2003,Best Actor,Daniel Day-Lewis and Jack Nicholson (Tie),Adrien Brody,False,0.8898148528264707,Momentum
2003,Best Actress,Nicole Kidman,Nicole Kidman,True,0.3848988389070431,Momentum
2003,Best Supporting Actor,Christopher Walken,Chris Cooper,False,0.48647057091540796,Momentum
2003,Best Supporting Actress,Catherine Zeta-Jones,Catherine Zeta-Jones,True,0.6965245431744894,Momentum
2004,Best Picture,The Lord of the Rings: The Return of the King (Bar,The Lord of the Rings: The Return of the King,True,0.9129511677282378,Momentum
2004,Best Director,Peter Jackson,Peter Jackson,True,0.7131837138104767,Momentum
2004,Best Actor,Sean Penn,Sean Penn,True,0.41268416878834674,Momentum
2004,Best Actress,Charlize Theron,Charlize Theron,True,0.5791797810870485,Momentum
2004,Best Supporting Actor,Tim Robbins,Tim Robbins,True,0.6823673298929094,Momentum
2004,Best Supporting Actress,Renée Zellweger,Renée Zellweger,True,0.9085631349782293,Momentum
2005,Best Picture,The Aviator (Michael Mann and Graham King),Million Dollar Baby,False,0.5940594059405941,Momentum
2005,Best Director,Clint Eastwood,Clint Eastwood,True,0.45027073240239396,Momentum
2005,Best Actor,Jamie Foxx,Jamie Foxx,True,0.7362445602998837,Momentum
2005,Best Actress,Hilary Swank (Million Dollar Baby) and Imelda Stau,Hilary Swank,True,0.5014450182403942,Momentum
2005,Best Supporting Actor,Clive Owen,Morgan Freeman,False,0.47156292715513093,Momentum
2005,Best Supporting Actress,Cate Blanchett,Cate Blanchett,True,0.4519094766619519,Momentum
2006,Best Picture,Brokeback Mountain (Diana Ossana and James Schamus,Crash,False,0.8722986247544205,Momentum
2006,Best Director,Ang Lee (for Brokeback Mountain),Ang Lee,True,0.8981212284087857,Momentum
2006,Best Actor,Philip Seymour Hoffman,Philip Seymour Hoffman,True,0.9520844257996854,Momentum
2006,Best Actress,Reese Witherspoon,Reese Witherspoon,True,0.7100435844628575,Momentum
2006,Best Supporting Actor,Paul Giamatti,George Clooney,False,0.4607058123049722,Momentum
2006,Best Supporting Actress,Rachel Weisz,Rachel Weisz,True,0.4457021577644146,Momentum
2007,Best Picture,Little Miss Sunshine,The Departed,False,0.3033932135728543,Momentum
2007,Best Director,Martin Scorsese,Martin Scorsese,True,0.7195391146149184,Momentum
2007,Best Actor,Forest Whitaker,Forest Whitaker,True,0.9011640486390583,Momentum
2007,Best Actress,Helen Mirren,Helen Mirren,True,0.866910455660877,Momentum
2007,Best Supporting Actor,Eddie Murphy,Alan Arkin,False,0.7030667501156495,Momentum
2007,Best Supporting Actress,Jennifer Hudson,Jennifer Hudson,True,0.9085631349782293,Momentum
2008,Best Picture,"No Country for Old Men (Scott Rudin, Joel Coen, an",No Country for Old Men,True,0.5679513184584178,Momentum
2008,Best Director,Joel Coen and Ethan Coen,Joel Coen and Ethan Coen,True,0.7708338411290129,Momentum
2008,Best Actor,Daniel Day-Lewis,Daniel Day-Lewis,True,0.9351715473921332,Momentum
2008,Best Actress,Julie Christie,Marion Cotillard,False,0.701865076613742,Momentum
2008,Best Supporting Actor,Javier Bardem,Javier Bardem,True,0.8803806071590394,Momentum
2008,Best Supporting Actress,Ruby Dee,Tilda Swinton,False,0.25672371638141805,Momentum
2009,Best Picture,Slumdog Millionaire (Christian Colson),Slumdog Millionaire,True,0.864300626304802,Momentum
2009,Best Director,Danny Boyle (Slumdog Millionaire),Danny Boyle,True,0.8981212284087857,Momentum
2009,Best Actor,Sean Penn,Sean Penn,True,0.5157599217321026,Momentum
2009,Best Actress,Anne Hathaway and Meryl Streep (Tie),Kate Winslet,False,0.4518528818744351,Momentum
2009,Best Supporting Actor,Heath Ledger,Heath Ledger,True,0.8803806071590394,Momentum
2009,Best Supporting Actress,Kate Winslet,Penélope Cruz,False,0.7155931010207673,Momentum
2010,Best Picture,"The Hurt Locker (Kathryn Bigelow, Mark Boal, Nicol",The Hurt Locker,True,0.7882599580712789,Momentum
2010,Best Director,Kathryn Bigelow (The Hurt Locker),Kathryn Bigelow,True,0.8042147195514794,Momentum
2010,Best Actor,Jeff Bridges,Jeff Bridges,True,0.6428012602287864,Momentum
2010,Best Actress,Meryl Streep and Sandra Bullock (Tie),Sandra Bullock,True,0.6716305726499743,Momentum
2010,Best Supporting Actor,Christoph Waltz,Christoph Waltz,True,0.8803806071590394,Momentum
2010,Best Supporting Actress,Mo'Nique,Mo'Nique,True,0.9516837481698389,Momentum
2011,Best Picture,The Social Network,The King's Speech,False,0.47058823529411764,Momentum
2011,Best Director,David Fincher (The Social Network),Tom Hooper,False,0.6184914157050381,Momentum
2011,Best Actor,Colin Firth,Colin Firth,True,0.8747293270158437,Momentum
2011,Best Actress,Natalie Portman,Natalie Portman,True,0.8065622172484403,Momentum
2011,Best Supporting Actor,Christian Bale,Christian Bale,True,0.7054487468784788,Momentum
2011,Best Supporting Actress,Melissa Leo,Melissa Leo,True,0.7117052023121387,Momentum
2012,Best Picture,The Artist (Thomas Langmann),The Artist,True,0.8237791932059447,Momentum
2012,Best Director,Michel Hazanavicius,Michel Hazanavicius,True,0.7211220724088862,Momentum
2012,Best Actor,George Clooney,Jean Dujardin,False,0.4595839555770566,Momentum
2012,Best Actress,Viola Davis,Meryl Streep,False,0.42682333310157833,Momentum
2012,Best Supporting Actor,Christopher Plummer,Christopher Plummer,True,0.8803806071590394,Momentum
2012,Best Supporting Actress,Octavia Spencer,Octavia Spencer,True,0.9085631349782293,Momentum
2013,Best Picture,"Argo (Ben Affleck, George Clooney, and Grant Heslo",Argo,True,0.864300626304802,Momentum
2013,Best Director,Ben Affleck (Argo),Ang Lee,False,0.9034990280477647,Momentum
2013,Best Actress,Jessica Chastain,Jennifer Lawrence,False,0.4422796921583581,Momentum
2013,Best Supporting Actor,Christoph Waltz,Christoph Waltz,True,0.41720339216641095,Momentum
2013,Best Supporting Actress,Anne Hathaway,Anne Hathaway,True,0.9085631349782293,Momentum
2014,Best Picture,Gravity AND 12 Years a Slave (Tie),12 Years a Slave,True,0.864300626304802,Momentum
2014,Best Director,Alfonso Cuarón (Gravity),Alfonso Cuarón,True,0.8981212284087857,Momentum
2014,Best Actor,Matthew McConaughey,Matthew McConaughey,True,0.6428012602287864,Momentum
2014,Best Actress,Cate Blanchett (Blue Jasmine),Cate Blanchett,True,0.8642376084112603,Momentum
2014,Best Supporting Actor,Jared Leto,Jared Leto,True,0.7152832119424547,Momentum
2014,Best Supporting Actress,Jennifer Lawrence,Lupita Nyong'o,False,0.49309734513274334,Momentum
2015,Best Picture,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),False,0.6307385229540918,Momentum
2015,Best Director,Richard Linklater,Alejandro G. Iñárritu,False,0.6184914157050381,Momentum
2015,Best Actor,Eddie Redmayne,Eddie Redmayne,True,0.6428012602287864,Momentum
2015,Best Actress,Julianne Moore,Julianne Moore,True,0.866910455660877,Momentum
2015,Best Supporting Actor,J.K. Simmons,J. K. Simmons,False,0.7232508792837835,Momentum
2015,Best Supporting Actress,Patricia Arquette,Patricia Arquette,True,0.9756457564575646,Momentum
2016,Best Picture,"The Big Short (Producers: Brad Pitt, Dede Gardner,",Spotlight,False,0.3058350100603621,Momentum
2016,Best Director,Alejandro G. Iñárritu (The Revenant),Alejandro G. Iñárritu,True,0.6289344498989317,Momentum
2016,Best Actor,Leonardo DiCaprio; Casey Affleck,Leonardo DiCaprio,True,0.9020646184850888,Momentum
2016,Best Actress,Brie Larson (January); Natalie Portman (December),Brie Larson,True,0.866910455660877,Momentum
2016,Best Supporting Actor,Sylvester Stallone (January); Mahershala Ali (Dece,Mark Rylance,False,0.5124100261658834,Momentum
2016,Best Supporting Actress,Alicia Vikander,Alicia Vikander,True,0.4835398230088495,Momentum
2017,Best Picture,La La Land,Moonlight,False,0.5170340681362725,Momentum
2017,Best Director,Damien Chazelle (La La Land),Damien Chazelle,True,0.8624034844585233,Momentum
2017,Best Actor,Casey Affleck,Casey Affleck,True,0.6956168657705213,Momentum
2017,Best Actress,Emma Stone,Emma Stone,True,0.6128918633321594,Momentum
2017,Best Supporting Actor,Mahershala Ali,Mahershala Ali,True,0.38520408163265313,Momentum
2017,Best Supporting Actress,Viola Davis,Viola Davis,True,0.9085631349782293,Momentum
2018,Best Picture,The Shape of Water (Guillermo del Toro and J. Mile,The Shape of Water,True,0.5679513184584178,Momentum
2018,Best Director,Guillermo del Toro (The Shape of Water),Guillermo del Toro,True,0.8981212284087857,Momentum
2018,Best Actor,Gary Oldman,Gary Oldman,True,0.8747293270158437,Momentum
2018,Best Actress,Frances McDormand,Frances McDormand,True,0.8065622172484403,Momentum
2018,Best Supporting Actor,Sam Rockwell,Sam Rockwell,True,0.8803806071590394,Momentum
2018,Best Supporting Actress,Allison Janney,Allison Janney,True,0.9085631349782293,Momentum
2019,Best Picture,Roma,Green Book,False,0.47154471544715443,Momentum
2019,Best Director,Alfonso Cuarón,Alfonso Cuarón,True,0.985799347268243,Momentum
2019,Best Actor,Rami Malek,Rami Malek,True,0.6428012602287864,Momentum
2019,Best Actress,Glenn Close and Lady Gaga (Tie),Olivia Colman,False,0.6741942249877648,Momentum
2019,Best Supporting Actor,Mahershala Ali,Mahershala Ali,True,0.8803806071590394,Momentum
2019,Best Supporting Actress,Regina King,Regina King,True,0.49154372076286434,Momentum
2020,Best Picture,1917,Parasite,False,0.5940594059405941,Momentum
2020,Best Director,Bong Joon-ho (Parasite) and Sam Mendes (1917) (Tie,Bong Joon Ho,True,0.9037380319461762,Momentum
2020,Best Actor,Joaquin Phoenix,Joaquin Phoenix,True,0.8763074808307737,Momentum
2020,Best Actress,Renée Zellweger,Renée Zellweger,True,0.868540300809873,Momentum
2020,Best Supporting Actor,Brad Pitt,Brad Pitt,True,0.9375953150735069,Momentum
2020,Best Supporting Actress,Laura Dern (Marriage Story and Little Women),Laura Dern,True,0.9516837481698389,Momentum
2021,Best Picture,"Nomadland (Producers: Frances McDormand, Peter Spe",Nomadland,True,0.864300626304802,Momentum
2021,Best Director,Chloé Zhao,Chloé Zhao,True,0.9503691449171586,Momentum
2021,Best Actor,Chadwick Boseman,Anthony Hopkins,False,0.665389448530169,Momentum
2021,Best Actress,Frances McDormand,Frances McDormand,True,0.23768959069187617,Momentum
2021,Best Supporting Actor,Daniel Kaluuya,Daniel Kaluuya,True,0.8803806071590394,Momentum
2021,Best Supporting Actress,Youn Yuh-jung,Yuh-Jung Youn,True,0.4519094766619519,Momentum
2022,Best Picture,The Power of the Dog,CODA,False,0.5828343313373253,Momentum
2022,Best Director,Jane Campion (The Power of the Dog),Jane Campion,True,0.9503691449171586,Momentum
2022,Best Actor,"Will Smith (Film), Sean Bean (Television)",Will Smith,True,0.8909456566399239,Momentum
2022,Best Actress,Jessica Chastain,Jessica Chastain,True,0.4005846596445641,Momentum
2022,Best Supporting Actor,Troy Kotsur,Troy Kotsur,True,0.6327321508421523,Momentum
2022,Best Supporting Actress,Ariana DeBose,Ariana DeBose,True,0.9085631349782293,Momentum
2023,Best Picture,Everything Everywhere All at Once,Everything Everywhere All at Once,True,0.5679513184584178,Momentum
2023,Best Director,Daniel Kwan and Daniel Scheinert,Daniel Kwan and Daniel Scheinert,True,0.5408345433338889,Momentum
2023,Best Actor,Austin Butler,Brendan Fraser,False,0.4392921240452439,Momentum
2023,Best Actress,Cate Blanchett,Michelle Yeoh,False,0.6484347643392394,Momentum
