"Award","Type","Country","Year of award ceremony","Category","date_awarded","winner","source"
"Oscars","Industry","USA","2015","Best Animated Short Film","2015-02-22","Feast","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Animated Short Film","2016-02-28","Bear Story","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Animated Short Film","2017-02-26","Piper","https://en.wikipedia.org/wiki/89th_Academy_Awards"
"Oscars","Industry","USA","2018","Best Animated Short Film","2018-03-04","Dear Basketball","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Animated Short Film","2019-02-24","Bao (Domee Shi and Becky Neiman-Cobb)","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Animated Short Film","2020-02-09","Hair Love","https://en.wikipedia.org/wiki/92nd_Academy_Awards"
"Oscars","Industry","USA","2021","Best Animated Short Film","2021-04-25","If Anything Happens I Love You","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Animated Short Film","2022-03-27","The Windshield Wiper","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Animated Short Film","2023-03-12","The Boy, the Mole, the Fox and the Horse","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Animated Short Film","2024-03-10","War Is Over! Inspired by the Music of John & Yoko","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Animated Short Film","2025-03-02","In the Shadow of the Cypress","https://en.wikipedia.org/wiki/97th_Academy_Awards"
"Oscars","Industry","USA","2026","Best Animated Short Film","","","https://www.oscars.org/oscars/ceremonies/2026"
"Oscars","Industry","USA","2000","Best Live Action Short Film","2000-03-26","My Mother Dreams the Satan's Disciples in New York","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Live Action Short Film","2001-03-25","Quiero Ser (I want to be...)","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Live Action Short Film","2002-03-24","the accountant","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Live Action Short Film","2003-03-23","This Charming Man (Der Er En Yndig Mand)","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Live Action Short Film","2004-02-29","Two Soldiers","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Live Action Short Film","2005-02-27","Wasp","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Live Action Short Film","2006-03-05","Six Shooter","https://www.oscars.org/oscars/ceremonies/2006/M"
"Oscars","Industry","USA","2007","Best Live Action Short Film","2007-02-25","West Bank Story (Ari Sandel)","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Live Action Short Film","2008-02-24","Le Mozart des Pickpockets (The Mozart of Pickpockets)","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Live Action Short Film","2009-02-22","Spielzeugland","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Live Action Short Film","2010-03-07","The New Tenants","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Live Action Short Film","2011-02-27","God of Love","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Live Action Short Film","2012-02-26","The Shore (Terry George and Oorlagh George)","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Live Action Short Film","2013-02-24","Curfew","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Live Action Short Film","2014-03-02","Helium","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Live Action Short Film","2015-02-22","The Phone Call","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Live Action Short Film","2016-02-28","Stutterer","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Live Action Short Film","2017-02-26","Sing","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Live Action Short Film","2018-03-04","The Silent Child","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Live Action Short Film","2019-02-24","Skin (Guy Nattiv and Jaime Ray Newman)","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Live Action Short Film","2020-02-09","The Neighbors' Window","https://en.wikipedia.org/wiki/92nd_Academy_Awards"
"Oscars","Industry","USA","2021","Best Live Action Short Film","2021-04-25","Two Distant Strangers","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Live Action Short Film","2022-03-27","The Long Goodbye","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Live Action Short Film","2023-03-12","An Irish Goodbye","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Live Action Short Film","2024-03-10","The Wonderful Story of Henry Sugar","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Live Action Short Film","2025-03-02","I'm Not a Robot","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Live Action Short Film","2026-03-15","","https://www.oscars.org/oscars/ceremonies/2026"
"Oscars","Industry","USA","2000","Best Visual Effects","2000-03-26","The Matrix (John Gaeta, Janek Sirrs, Steve Courtley, and Jon Thum)","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Visual Effects","2001-03-25","Gladiator (John Nelson, Neil Corbould, Tim Burke, and Rob Harvey)","https://en.wikipedia.org/wiki/73rd_Academy_Awards"
"Oscars","Industry","USA","2002","Best Visual Effects","2002-03-24","The Lord of the Rings: The Fellowship of the Ring","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Visual Effects","2003-03-23","The Lord of the Rings: The Two Towers","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Visual Effects","2004-02-29","The Lord of the Rings: The Return of the King (Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke)","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Visual Effects","2005-02-27","Spider-Man 2","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Visual Effects","2006-03-05","King Kong","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Visual Effects","2007-02-25","Pirates of the Caribbean: Dead Man's Chest","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Visual Effects","2008-02-24","The Golden Compass","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Visual Effects","2009-02-22","The Curious Case of Benjamin Button","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Visual Effects","2010-03-07","Avatar (Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones)","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Visual Effects","2011-02-27","Inception (Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb)","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Visual Effects","2012-02-26","Hugo (Rob Legato, Joss Williams, Ben Grossmann and Alex Henning)","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Visual Effects","2013-02-24","Life of Pi","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Visual Effects","2014-03-02","Gravity (Tim Webber, Chris Lawrence, Dave Shirk and Neil Corbould)","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Visual Effects","2015-02-22","Interstellar (Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher)","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Visual Effects","2016-02-28","Ex Machina","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Visual Effects","2017-02-26","The Jungle Book (Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon)","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Visual Effects","2018-03-04","Blade Runner 2049 (John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover)","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Visual Effects","2019-02-24","First Man","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Visual Effects","2020-02-09","1917 (Guillaume Rocheron, Greg Butler and Dominic Tuohy)","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Visual Effects","2021-04-25","Tenet","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Visual Effects","2022-03-27","Dune (Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer)","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Visual Effects","2023-03-12","Avatar: The Way of Water","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Visual Effects","2024-03-10","Godzilla Minus One","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Visual Effects","2025-03-02","Dune: Part Two","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Visual Effects","","","https://www.oscars.org/oscars/ceremonies/2026"
"Oscars","Industry","USA","2000","Best Documentary Short Film","2000-03-26","King Gimp","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Documentary Short Film","2001-03-25","Big Mama","https://en.wikipedia.org/wiki/73rd_Academy_Awards"
"Oscars","Industry","USA","2002","Best Documentary Short Film","2002-03-24","Thoth","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Documentary Short Film","2003-03-23","Twin Towers","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Documentary Short Film","2004-02-29","Chernobyl Heart","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Documentary Short Film","2005-02-27","Mighty Times: The Children's March","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Documentary Short Film","2006-03-05","A Note of Triumph: The Golden Age of Norman Corwin","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Documentary Short Film","2007-02-25","The Blood of Yingzhou District","https://en.wikipedia.org/wiki/79th_Academy_Awards"
"Oscars","Industry","USA","2008","Best Documentary Short Film","2008-02-24","Freeheld","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Documentary Short Film","2009-02-22","Smile Pinki","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Documentary Short Film","2010-03-07","Music by Prudence","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Documentary Short Film","2011-02-27","Strangers No More","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Documentary Short Film","2012-02-26","Saving Face","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Documentary Short Film","2013-02-24","Inocente","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Documentary Short Film","2014-03-02","The Lady in Number 6: Music Saved My Life (Malcolm Clarke and Nicholas Reed)","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Documentary Short Film","2015-02-22","Crisis Hotline: Veterans Press 1","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Documentary Short Film","2016-02-28","A Girl in the River: The Price of Forgiveness","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Documentary Short Film","2017-02-26","The White Helmets","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Documentary Short Film","2018-03-04","Heaven Is a Traffic Jam on the 405","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Documentary Short Film","2019-02-24","Period. End of Sentence.","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Documentary Short Film","2020-02-09","Learning to Skateboard in a Warzone (If You're a Girl)","https://en.wikipedia.org/wiki/92nd_Academy_Awards"
"Oscars","Industry","USA","2021","Best Documentary Short Film","2021-04-25","Colette","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Documentary Short Film","2022-03-27","The Queen of Basketball","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Documentary Short Film","2023-03-12","The Elephant Whisperers","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Documentary Short Film","2024-03-10","The Last Repair Shop","https://en.wikipedia.org/wiki/96th_Academy_Awards"
"Oscars","Industry","USA","2025","Best Documentary Short Film","2025-03-02","The Only Girl in the Orchestra","https://abc.com/news/8d96bb37-bd59-4c28-a470-46f244f63b3b/category/3590742"
"Oscars","Industry","USA","2026","Best Documentary Short Film","","",""
"Oscars","Industry","USA","2000","Best Casting","","",""
"Oscars","Industry","USA","2001","Best Casting","","",""
"Oscars","Industry","USA","2002","Best Casting","","",""
"Oscars","Industry","USA","2003","Best Casting","","",""
"Oscars","Industry","USA","2004","Best Casting","","",""
"Oscars","Industry","USA","2005","Best Casting","","",""
"Oscars","Industry","USA","2006","Best Casting","","",""
"Oscars","Industry","USA","2007","Best Casting","","",""
"Oscars","Industry","USA","2008","Best Casting","","",""
"Oscars","Industry","USA","2009","Best Casting","","",""
"Oscars","Industry","USA","2010","Best Casting","","",""
"Oscars","Industry","USA","2011","Best Casting","","",""
"Oscars","Industry","USA","2012","Best Casting","","","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Casting","","",""
"Oscars","Industry","USA","2014","Best Casting","","",""
"Oscars","Industry","USA","2015","Best Casting","","",""
"Oscars","Industry","USA","2016","Best Casting","","",""
"Oscars","Industry","USA","2017","Best Casting","","",""
"Oscars","Industry","USA","2018","Best Casting","","",""
"Oscars","Industry","USA","2019","Best Casting","","",""
"Oscars","Industry","USA","2020","Best Casting","","",""
"Oscars","Industry","USA","2021","Best Casting","","",""
"Oscars","Industry","USA","2022","Best Casting","","",""
"Oscars","Industry","USA","2023","Best Casting","","",""
"Oscars","Industry","USA","2024","Best Casting","","",""
"Oscars","Industry","USA","2025","Best Casting","","",""
"Oscars","Industry","USA","2026","Best Casting","","","https://www.oscars.org/oscars/ceremonies/2026"
"SAG Awards","Guild","USA","2000","Outstanding Performance by a Cast in a Motion Picture","2000-03-12","American Beauty","https://www.actorawards.org/awards/nominees-and-recipients/6th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2001","Outstanding Performance by a Cast in a Motion Picture","2001-03-11","Traffic","https://www.sagawards.org/awards/nominees-and-recipients/7th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2002","Outstanding Performance by a Cast in a Motion Picture","2002-03-10","Gosford Park","https://www.actorawards.org/awards/nominees-and-recipients/8th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2003","Outstanding Performance by a Cast in a Motion Picture","2003-03-09","Chicago","https://en.wikipedia.org/wiki/9th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2004","Outstanding Performance by a Cast in a Motion Picture","2004-02-22","The Lord of the Rings: The Return of the King","https://www.actorawards.org/awards/nominees-and-recipients/10th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2005","Outstanding Performance by a Cast in a Motion Picture","2005-02-05","Sideways","https://en.wikipedia.org/wiki/11th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2006","Outstanding Performance by a Cast in a Motion Picture","2006-01-29","Crash","https://www.actorawards.org/awards/nominees-and-recipients/12th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2007","Outstanding Performance by a Cast in a Motion Picture","2007-01-28","Little Miss Sunshine","https://www.actorawards.org/awards/nominees-and-recipients/13th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2008","Outstanding Performance by a Cast in a Motion Picture","2008-01-27","No Country for Old Men","https://en.wikipedia.org/wiki/14th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2009","Outstanding Performance by a Cast in a Motion Picture","2009-01-25","Slumdog Millionaire","https://en.wikipedia.org/wiki/15th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2010","Outstanding Performance by a Cast in a Motion Picture","2010-01-23","Inglourious Basterds","https://en.wikipedia.org/wiki/16th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2011","Outstanding Performance by a Cast in a Motion Picture","2011-01-30","The King's Speech","https://www.rollingstone.com/culture/culture-lists/photos-2011-screen-actors-guild-award-winners-20544/"
"SAG Awards","Guild","USA","2012","Outstanding Performance by a Cast in a Motion Picture","2012-01-29","The Help","https://www.actorawards.org/awards/nominees-and-recipients/18th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2013","Outstanding Performance by a Cast in a Motion Picture","2013-01-27","Argo","https://www.sagaftra.org/sag-aftra-honors-outstanding-film-and-television-performances-19th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2014","Outstanding Performance by a Cast in a Motion Picture","2014-01-18","American Hustle","https://en.wikipedia.org/wiki/20th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2015","Outstanding Performance by a Cast in a Motion Picture","2015-01-25","Birdman","https://en.wikipedia.org/wiki/21st_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2016","Outstanding Performance by a Cast in a Motion Picture","2016-01-30","Spotlight","https://variety.com/2016/film/awards/sag-awards-2016-full-winners-list-screen-actors-guild-awards-1201692944/"
"SAG Awards","Guild","USA","2017","Outstanding Performance by a Cast in a Motion Picture","2017-01-29","Hidden Figures","https://variety.com/2017/film/news/sag-awards-winners-list-screen-actors-guild-2017-1201972668/"
"SAG Awards","Guild","USA","2018","Outstanding Performance by a Cast in a Motion Picture","2018-01-21","Three Billboards Outside Ebbing, Missouri","https://en.wikipedia.org/wiki/24th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2019","Outstanding Performance by a Cast in a Motion Picture","2019-01-27","Black Panther","https://en.wikipedia.org/wiki/25th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2020","Outstanding Performance by a Cast in a Motion Picture","2020-01-19","Parasite","https://deadline.com/2020/01/2020-sag-awards-winners-list-screen-actors-guild-1202835426/"
"SAG Awards","Guild","USA","2021","Outstanding Performance by a Cast in a Motion Picture","2021-04-04","The Trial of the Chicago 7","https://en.wikipedia.org/wiki/27th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2022","Outstanding Performance by a Cast in a Motion Picture","2022-02-27","CODA","https://www.hollywoodreporter.com/movies/movie-news/sag-awards-winners-2022-complete-list-1235100358/"
"SAG Awards","Guild","USA","2023","Outstanding Performance by a Cast in a Motion Picture","2023-02-26","Everything Everywhere All at Once","https://www.hollywoodreporter.com/movies/movie-news/sag-awards-2023-winners-list-1235334724/"
"SAG Awards","Guild","USA","2024","Outstanding Performance by a Cast in a Motion Picture","2024-02-24","Oppenheimer","https://www.hollywoodreporter.com/movies/movie-news/sag-awards-2024-winners-list-1235831881/"
"SAG Awards","Guild","USA","2025","Outstanding Performance by a Cast in a Motion Picture","2025-02-23","Conclave","https://en.wikipedia.org/wiki/31st_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2026","Outstanding Performance by a Cast in a Motion Picture","2026-03-01","Sinners","https://deadline.com/2026/03/2026-sag-actor-awards-winners-1236740466/"
"SAG Awards","Guild","USA","2000","Outstanding Performance by a Male Actor in a Leading Role","2000-03-12","Kevin Spacey","https://www.sagawards.org/awards/nominees-and-recipients/6th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2001","Outstanding Performance by a Male Actor in a Leading Role","2001-03-11","Benicio del Toro","https://www.sagawards.org/awards/nominees-and-recipients/7th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2002","Outstanding Performance by a Male Actor in a Leading Role","2002-03-10","Russell Crowe","https://en.wikipedia.org/wiki/8th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2003","Outstanding Performance by a Male Actor in a Leading Role","2003-03-09","Daniel Day-Lewis","https://en.wikipedia.org/wiki/9th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2004","Outstanding Performance by a Male Actor in a Leading Role","2004-02-22","Johnny Depp","https://www.digitalhit.com/screen-actors-guild-awards/10th/winners/"
"SAG Awards","Guild","USA","2005","Outstanding Performance by a Male Actor in a Leading Role","2005-02-05","Jamie Foxx","https://en.wikipedia.org/wiki/11th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2006","Outstanding Performance by a Male Actor in a Leading Role","2006-01-29","Philip Seymour Hoffman","https://www.actorawards.org/awards/nominees-and-recipients/12th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2007","Outstanding Performance by a Male Actor in a Leading Role","2007-01-28","Forest Whitaker","https://www.sagawards.org/awards/nominees-and-recipients/13th-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2008","Outstanding Performance by a Male Actor in a Leading Role","2008-01-27","Daniel Day-Lewis","https://en.wikipedia.org/wiki/14th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2009","Outstanding Performance by a Male Actor in a Leading Role","2009-01-25","Sean Penn","https://www.imdb.com/event/ev0000598/2009/1/"
"SAG Awards","Guild","USA","2010","Outstanding Performance by a Male Actor in a Leading Role","2010-01-23","Jeff Bridges","https://en.wikipedia.org/wiki/16th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2011","Outstanding Performance by a Male Actor in a Leading Role","2011-01-30","Colin Firth","https://en.wikipedia.org/wiki/17th_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2012","Outstanding Performance by a Male Actor in a Leading Role","2012-01-29","Jean Dujardin","https://www.hollywoodreporter.com/news/general-news/sag-awards-2012-winners-nominees-285560/"
"SAG Awards","Guild","USA","2013","Outstanding Performance by a Male Actor in a Leading Role","2013-01-27","Daniel Day-Lewis","https://www.hollywoodreporter.com/news/general-news/sag-awards-2013-complete-list-415699/"
"SAG Awards","Guild","USA","2014","Outstanding Performance by a Male Actor in a Leading Role","2014-01-18","Matthew McConaughey","https://www.filmlinc.org/daily/american-hustle-wins-big-at-20th-annual-screen-actors-guild-awards/"
"SAG Awards","Guild","USA","2015","Outstanding Performance by a Male Actor in a Leading Role","2015-01-25","Eddie Redmayne","https://en.wikipedia.org/wiki/21st_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2016","Outstanding Performance by a Male Actor in a Leading Role","2016-01-30","Leonardo DiCaprio","https://en.wikipedia.org/wiki/22nd_Screen_Actors_Guild_Awards"
"SAG Awards","Guild","USA","2017","Outstanding Performance by a Male Actor in a Leading Role","2017-01-29","Denzel Washington","https://www.actorawards.org/awards/nominees-and-recipients/23rd-annual-screen-actors-guild-awards"
"SAG Awards","Guild","USA","2018","Outstanding Performance by a Male Actor in a Leading Role","2018-01-21","Gary Oldman","https://www.hollywoodreporter.com/lists/sag-award-winners-2018-full-list-1067861/"
"SAG Awards","Guild","USA","2019","Outstanding Performance by a Male Actor in a Leading Role","2019-01-27","Rami Malek","https://www.actorawards.org/about/25th-annual-screen-actors-guild-awards"
