"Award","Type","Country","Year of award ceremony","Category","date_awarded","winner","source"
"Oscars","Industry","USA","2025","Best Picture","2025-03-02","Anora","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Picture","","","https://www.oscars.org/oscars/ceremonies/2026"
"Oscars","Industry","USA","2000","Best Director","2000-03-26","Sam Mendes","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Director","2001-03-25","Steven Soderbergh","https://en.wikipedia.org/wiki/73rd_Academy_Awards"
"Oscars","Industry","USA","2002","Best Director","2002-03-24","Ron Howard","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Director","2003-03-23","Roman Polanski","https://en.wikipedia.org/wiki/75th_Academy_Awards"
"Oscars","Industry","USA","2004","Best Director","2004-02-29","Peter Jackson","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Director","2005-02-27","Clint Eastwood","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Director","2006-03-05","Ang Lee","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Director","2007-02-25","Martin Scorsese","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Director","2008-02-24","Joel Coen and Ethan Coen","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Director","2009-02-22","Danny Boyle","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Director","2010-03-07","Kathryn Bigelow","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Director","2011-02-27","Tom Hooper","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Director","2012-02-26","Michel Hazanavicius","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Director","2013-02-24","Ang Lee","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Director","2014-03-02","Alfonso Cuarón","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Director","2015-02-22","Alejandro G. Iñárritu","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Director","2016-02-28","Alejandro G. Iñárritu","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Director","2017-02-26","Damien Chazelle","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Director","2018-03-04","Guillermo del Toro","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Director","2019-02-24","Alfonso Cuarón","https://www.oscars.org/oscars/ceremonies/2019/O"
"Oscars","Industry","USA","2020","Best Director","2020-02-09","Bong Joon Ho","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Director","2021-04-25","Chloé Zhao","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Director","2022-03-27","Jane Campion","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Director","2023-03-12","Daniel Kwan and Daniel Scheinert","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Director","2024-03-10","Christopher Nolan","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Director","2025-03-02","Sean Baker","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Director","","",""
"Oscars","Industry","USA","2000","Best Actor","2000-03-26","Kevin Spacey","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Actor","2001-03-25","Russell Crowe","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Actor","2002-03-24","Denzel Washington","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Actor","2003-03-23","Adrien Brody","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Actor","2004-02-29","Sean Penn","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Actor","2005-02-27","Jamie Foxx","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Actor","2006-03-05","Philip Seymour Hoffman","https://en.wikipedia.org/wiki/78th_Academy_Awards"
"Oscars","Industry","USA","2007","Best Actor","2007-02-25","Forest Whitaker","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Actor","2008-02-24","Daniel Day-Lewis","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Actor","2009-02-22","Sean Penn","https://en.wikipedia.org/wiki/81st_Academy_Awards"
"Oscars","Industry","USA","2010","Best Actor","2010-03-07","Jeff Bridges","https://en.wikipedia.org/wiki/82nd_Academy_Awards"
"Oscars","Industry","USA","2011","Best Actor","2011-02-27","Colin Firth","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Actor","2012-02-26","Jean Dujardin","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Actor","","",""
"Oscars","Industry","USA","2014","Best Actor","2014-03-02","Matthew McConaughey","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Actor","2015-02-22","Eddie Redmayne","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Actor","2016-02-28","Leonardo DiCaprio","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Actor","2017-02-26","Casey Affleck","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Actor","2018-03-04","Gary Oldman","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Actor","2019-02-24","Rami Malek","https://www.oscars.org/oscars/ceremonies/2019/O"
"Oscars","Industry","USA","2020","Best Actor","2020-02-09","Joaquin Phoenix","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Actor","2021-04-25","Anthony Hopkins","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Actor","2022-03-27","Will Smith","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Actor","2023-03-12","Brendan Fraser","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Actor","2024-03-10","Cillian Murphy","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Actor","2025-03-02","Adrien Brody","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Actor","","",""
"Oscars","Industry","USA","2000","Best Actress","2000-03-26","Hilary Swank","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Actress","2001-03-25","Julia Roberts","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Actress","2002-03-24","Halle Berry","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Actress","2003-03-23","Nicole Kidman","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Actress","2004-02-29","Charlize Theron","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Actress","2005-02-27","Hilary Swank","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Actress","2006-03-05","Reese Witherspoon","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Actress","2007-02-25","Helen Mirren","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Actress","2008-02-24","Marion Cotillard","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Actress","2009-02-22","Kate Winslet","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Actress","2010-03-07","Sandra Bullock","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Actress","2011-02-27","Natalie Portman","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Actress","2012-02-26","Meryl Streep","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Actress","2013-02-24","Jennifer Lawrence","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Actress","2014-03-02","Cate Blanchett","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Actress","2015-02-22","Julianne Moore","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Actress","2016-02-28","Brie Larson","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Actress","2017-02-26","Emma Stone","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Actress","2018-03-04","Frances McDormand","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Actress","2019-02-24","Olivia Colman","https://www.oscars.org/oscars/ceremonies/2019/O"
"Oscars","Industry","USA","2020","Best Actress","2020-02-09","Renée Zellweger","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Actress","2021-04-25","Frances McDormand","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Actress","2022-03-27","Jessica Chastain","https://en.wikipedia.org/wiki/94th_Academy_Awards"
"Oscars","Industry","USA","2023","Best Actress","2023-03-12","Michelle Yeoh","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Actress","2024-03-10","Emma Stone","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Actress","2025-03-02","Mikey Madison","https://abc.com/news/8d96bb37-bd59-4c28-a470-46f244f63b3b/category/3590742"
"Oscars","Industry","USA","2026","Best Actress","","",""
"Oscars","Industry","USA","2000","Best Supporting Actor","2000-03-26","Michael Caine","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Supporting Actor","2001-03-25","Benicio Del Toro","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Supporting Actor","2002-03-24","Jim Broadbent","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Supporting Actor","2003-03-23","Chris Cooper","https://en.wikipedia.org/wiki/75th_Academy_Awards"
"Oscars","Industry","USA","2004","Best Supporting Actor","2004-02-29","Tim Robbins","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Supporting Actor","2005-02-27","Morgan Freeman","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Supporting Actor","2006-03-05","George Clooney","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Supporting Actor","2007-02-25","Alan Arkin","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Supporting Actor","2008-02-24","Javier Bardem","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Supporting Actor","2009-02-22","Heath Ledger","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Supporting Actor","2010-03-07","Christoph Waltz","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Supporting Actor","2011-02-27","Christian Bale","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Supporting Actor","2012-02-26","Christopher Plummer","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Supporting Actor","2013-02-24","Christoph Waltz","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Supporting Actor","2014-03-02","Jared Leto","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Supporting Actor","2015-02-22","J. K. Simmons","https://en.wikipedia.org/wiki/87th_Academy_Awards"
"Oscars","Industry","USA","2016","Best Supporting Actor","2016-02-28","Mark Rylance","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Supporting Actor","2017-02-26","Mahershala Ali","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Supporting Actor","2018-03-04","Sam Rockwell","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Supporting Actor","2019-02-24","Mahershala Ali","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Supporting Actor","2020-02-09","Brad Pitt","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Supporting Actor","2021-04-25","Daniel Kaluuya","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Supporting Actor","2022-03-27","Troy Kotsur","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Supporting Actor","2023-03-12","Ke Huy Quan","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Supporting Actor","2024-03-10","Robert Downey Jr.","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Supporting Actor","2025-03-02","Kieran Culkin","https://abc7.com/post/oscars-2025-kieran-culkin-wins-best-actor-supporting-role-97th-academy-awards/15962908/"
"Oscars","Industry","USA","2026","Best Supporting Actor","","",""
"Oscars","Industry","USA","2000","Best Supporting Actress","2000-03-26","Angelina Jolie","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Supporting Actress","2001-03-25","Marcia Gay Harden","https://en.wikipedia.org/wiki/73rd_Academy_Awards"
"Oscars","Industry","USA","2002","Best Supporting Actress","2002-03-24","Jennifer Connelly","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Supporting Actress","2003-03-23","Catherine Zeta-Jones","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Supporting Actress","2004-02-29","Renée Zellweger","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Supporting Actress","2005-02-27","Cate Blanchett","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Supporting Actress","2006-03-05","Rachel Weisz","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Supporting Actress","2007-02-25","Jennifer Hudson","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Supporting Actress","2008-02-24","Tilda Swinton","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Supporting Actress","2009-02-22","Penélope Cruz","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Supporting Actress","2010-03-07","Mo'Nique","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Supporting Actress","2011-02-27","Melissa Leo","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Supporting Actress","2012-02-26","Octavia Spencer","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Supporting Actress","2013-02-24","Anne Hathaway","https://en.wikipedia.org/wiki/85th_Academy_Awards"
"Oscars","Industry","USA","2014","Best Supporting Actress","2014-03-02","Lupita Nyong'o","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Supporting Actress","2015-02-22","Patricia Arquette","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Supporting Actress","2016-02-28","Alicia Vikander","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Supporting Actress","2017-02-26","Viola Davis","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Supporting Actress","2018-03-04","Allison Janney","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Supporting Actress","2019-02-24","Regina King","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Supporting Actress","2020-02-09","Laura Dern","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Supporting Actress","2021-04-25","Yuh-Jung Youn","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Supporting Actress","2022-03-27","Ariana DeBose","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Supporting Actress","2023-03-12","Jamie Lee Curtis","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Supporting Actress","2024-03-10","Da'Vine Joy Randolph","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Supporting Actress","2025-03-02","Zoe Saldaña","https://www.oscars.org/oscars/ceremonies/2025"
"Oscars","Industry","USA","2026","Best Supporting Actress","2026-03-15","","https://www.oscars.org/oscars/ceremonies/2026"
"Oscars","Industry","USA","2000","Best Cinematography","2000-03-26","Conrad L. Hall","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Cinematography","2001-03-25","Peter Pau","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Cinematography","2002-03-24","Andrew Lesnie (The Lord of the Rings: The Fellowship of the Ring)","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Cinematography","2003-03-23","Conrad Hall (Road to Perdition)","https://en.wikipedia.org/wiki/75th_Academy_Awards"
"Oscars","Industry","USA","2004","Best Cinematography","2004-02-29","Russell Boyd for 'Master and Commander: The Far Side of the World'","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Cinematography","2005-02-27","Robert Richardson (The Aviator)","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Cinematography","2006-03-05","Dion Beebe (Memoirs of a Geisha)","https://en.wikipedia.org/wiki/78th_Academy_Awards"
"Oscars","Industry","USA","2007","Best Cinematography","2007-02-25","Guillermo Navarro (Pan's Labyrinth)","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Cinematography","2008-02-24","Robert Elswit (There Will Be Blood)","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Cinematography","2009-02-22","Anthony Dod Mantle (Slumdog Millionaire)","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Cinematography","2010-03-07","Mauro Fiore (Avatar)","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Cinematography","2011-02-27","Wally Pfister (Inception)","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Cinematography","2012-02-26","Robert Richardson (Hugo)","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Cinematography","2013-02-24","Claudio Miranda (Life of Pi)","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Cinematography","2014-03-02","Emmanuel Lubezki","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Cinematography","2015-02-22","Emmanuel Lubezki (Birdman or (The Unexpected Virtue of Ignorance))","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Cinematography","2016-02-28","Emmanuel Lubezki","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Cinematography","2017-02-26","Linus Sandgren (La La Land)","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Cinematography","2018-03-04","Roger A. Deakins (Blade Runner 2049)","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Cinematography","2019-02-24","Alfonso Cuarón (Roma)","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Cinematography","2020-02-09","Roger Deakins (1917)","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Cinematography","2021-04-25","Erik Messerschmidt (Mank)","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Cinematography","2022-03-27","Greig Fraser (Dune)","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Cinematography","2023-03-12","James Friend (All Quiet on the Western Front)","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Cinematography","2024-03-10","Hoyte van Hoytema (Oppenheimer)","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Cinematography","2025-03-02","Lol Crawley (The Brutalist)","https://abc.com/news/8d96bb37-bd59-4c28-a470-46f244f63b3b/category/3590742"
"Oscars","Industry","USA","2026","Best Cinematography","","",""
"Oscars","Industry","USA","2000","Best Film Editing","2000-03-26","Zach Staenberg (for The Matrix)","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Film Editing","","",""
"Oscars","Industry","USA","2002","Best Film Editing","2002-03-24","Pietro Scalia (for Black Hawk Down)","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Film Editing","2003-03-23","Martin Walsh (Chicago)","https://en.wikipedia.org/wiki/75th_Academy_Awards"
"Oscars","Industry","USA","2004","Best Film Editing","2004-02-29","Jamie Selkirk (The Lord of the Rings: The Return of the King)","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Film Editing","2005-02-27","Thelma Schoonmaker (The Aviator)","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Film Editing","2006-03-05","Hughes Winborne (Crash)","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Film Editing","2007-02-25","Thelma Schoonmaker (The Departed)","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Film Editing","2008-02-24","Christopher Rouse (The Bourne Ultimatum)","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Film Editing","2009-02-22","Chris Dickens (Slumdog Millionaire)","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Film Editing","2010-03-07","Bob Murawski and Chris Innis (The Hurt Locker)","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Film Editing","2011-02-27","The Social Network (Angus Wall and Kirk Baxter)","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Film Editing","2012-02-26","The Girl with the Dragon Tattoo (Kirk Baxter and Angus Wall)","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Film Editing","2013-02-24","William Goldenberg (Argo)","https://en.wikipedia.org/wiki/85th_Academy_Awards"
"Oscars","Industry","USA","2014","Best Film Editing","2014-03-02","Alfonso Cuarón and Mark Sanger for Gravity","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Film Editing","2015-02-22","Tom Cross (Whiplash)","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Film Editing","2016-02-28","Margaret Sixel (Mad Max: Fury Road)","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Film Editing","2017-02-26","John Gilbert (Hacksaw Ridge)","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Film Editing","2018-03-04","Lee Smith (Dunkirk)","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Film Editing","2019-02-24","John Ottman (Bohemian Rhapsody)","https://deadline.com/2019/02/bohemian-rhapsody-john-ottman-wins-oscar-best-editing-1202563980/"
"Oscars","Industry","USA","2020","Best Film Editing","2020-02-09","Michael McCusker and Andrew Buckland (Ford v Ferrari)","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Film Editing","2021-04-25","Mikkel E. G. Nielsen (Sound of Metal)","https://en.wikipedia.org/wiki/93rd_Academy_Awards"
"Oscars","Industry","USA","2022","Best Film Editing","2022-03-27","Joe Walker (Dune)","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Film Editing","2023-03-12","Paul Rogers (Everything Everywhere All at Once)","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Film Editing","2024-03-10","Jennifer Lame (Oppenheimer)","https://www.oscars.org/oscars/ceremonies/2024"
